epochs,val_acc1,val_acc5,val_acc10,val_kendall,time
0,0.918667,0.889067,0.821933,0.438386,0.19
500,0.959333,0.93,0.8966,0.671982,0.19
1000,0.955333,0.927733,0.891133,0.671589,0.19
1500,0.946,0.932,0.895533,0.686061,0.19
2000,0.944667,0.9348,0.899667,0.701001,0.19
2500,0.952667,0.934933,0.900133,0.70315,0.19
3000,0.942,0.935067,0.901467,0.712888,0.19
3500,0.932,0.934933,0.899,0.704082,0.19
4000,0.931333,0.935333,0.898933,0.713081,0.19
4500,0.93,0.933067,0.8972,0.704947,0.19
5000,0.912667,0.9368,0.899067,0.716866,0.19
5500,0.918667,0.929867,0.892733,0.707757,0.19
6000,0.93,0.928133,0.893867,0.71565,0.19
6500,0.947333,0.926,0.890067,0.712318,0.19
7000,0.936,0.9212,0.8844,0.702523,0.19
7500,0.934,0.918133,0.8852,0.706834,0.19
8000,0.930667,0.919333,0.887467,0.708602,0.19
8500,0.932667,0.9196,0.8888,0.705359,0.19
9000,0.934,0.923067,0.893133,0.708396,0.19
9500,0.932,0.917733,0.888333,0.709652,0.19
10000,0.934667,0.9228,0.893867,0.715828,0.19
